book_id,title,author,fictional,popularity_score,isbn,page_count,tags,cover_image_filename,cover_image_dominant_color,cover_image_bg_color,is_cover_image_dark,createdAt,updatedAt,introdone
28,U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,False,95,9781557091055,32,"{foundational,historical}",28.webp,NULL,NULL,NULL,2025-04-06 07:49:30.406+00,2025-04-26 14:46:13.161+00,
82,Cosmos,Carl Sagan,False,95,9780345331359,384,"{bestseller,classic,educational}",82.webp,#040a0f,#b9bbbc,True,2025-04-06 07:49:30.494+00,2025-04-27 08:32:36.95+00,
357,Chicken Soup for the Soul,Jack Canfield,False,95,NULL,NULL,"{bestseller,motivational}",357.webp,#fcf5e5,#e3ddce,False,2025-04-06 07:49:30.893+00,2025-04-27 08:29:07.778+00,
409,The Allegory of the Cave,Plato,False,95,NULL,20,"{classic,philosophical}",409.webp,#b04823,#e9ccc1,True,2025-04-06 07:49:31.004+00,2025-04-27 08:29:28.181+00,
926,The Psychology of Money,Morgan Housel,False,95,9780857197689,256,"{bestseller,influential}",926.webp,#007c52,#b8dacf,True,2025-04-06 07:49:31.599+00,2025-04-27 08:33:08.723+00,
1084,Sapiens: A Brief History of Humankind,Yuval Noah Harari,False,95,9780062316097,443,"{bestseller,influential,educational}",1084.webp,#1b242e,#bfc2c5,True,2025-04-06 07:49:31.779+00,2025-04-27 08:13:31.325+00,
1136,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,False,95,9780316322409,368,"{bestseller,influential}",1136.webp,NULL,NULL,NULL,2025-04-06 07:49:31.836+00,2025-04-26 14:46:17.247+00,
1159,"Rich Dad, Poor Dad",Robert T. Kiyosaki,False,95,9781612680194,336,"{bestseller,motivational}",1159.webp,#6a4478,#d5cbd9,True,2025-04-06 07:49:31.862+00,2025-04-27 08:14:18.7+00,
2173,Becoming,Michelle Obama,False,95,978-1524763138,448,"{bestseller,influential}",2173.webp,#b9c9bc,#ced9d0,True,2025-04-06 07:49:32.984+00,2025-04-27 08:23:22.839+00,
2202,"Thinking, Fast and Slow",Daniel Kahneman,False,95,9780374533557,499,"{bestseller,influential,educational}",2202.webp,NULL,NULL,NULL,2025-04-06 07:49:33.019+00,2025-04-26 14:46:20.138+00,
2185,Educated,Tara Westover,False,95,9780399590504,334,"{bestseller,award-winning,influential}",2185.webp,#bab99f,#cfcebc,True,2025-04-06 07:49:32.998+00,2025-04-27 08:23:54.567+00,
2247,Think and Grow Rich,Napoleon Hill,False,95,978-1585424337,238,"{bestseller,motivational,self-improvement}",2247.webp,NULL,NULL,NULL,2025-04-06 07:49:33.069+00,2025-04-26 14:46:20.293+00,
