book_id,title,author,fictional,popularity_score,isbn,page_count,tags,cover_image_filename,cover_image_dominant_color,cover_image_bg_color,is_cover_image_dark,createdAt,updatedAt,introdone
33,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,False,80,9780143038252,349,"{bestseller,influential}",33.webp,#1d6a7e,#c0d5db,True,2025-04-06 07:49:30.415+00,2025-05-24 20:50:19.434+00,true
32,"A Child Called It (Dave Pelzer, #1)",Dave Pelzer,False,85,9781558743665,184,"{bestseller,influential}",32.webp,#14637d,#bdd3db,True,2025-04-06 07:49:30.413+00,2025-05-01 14:14:47.82+00,true
19,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,False,90,978-0345514400,304,"{bestseller,influential}",19.webp,NULL,NULL,NULL,2025-04-06 07:49:30.39+00,2025-04-26 14:46:13.136+00,true
20,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,False,90,NULL,531,"{classic,influential}",20.webp,NULL,NULL,NULL,2025-04-06 07:49:30.392+00,2025-04-26 14:46:13.139+00,true
25,Man’s Search for Meaning,Viktor E. Frankl,False,92,9780807014271,200,"{bestseller,influential,motivational}",25.webp,NULL,NULL,NULL,2025-04-06 07:49:30.401+00,2025-04-26 14:46:13.151+00,true
26,Roots: The Saga of an American Family,Alex Haley,False,90,9781593154493,688,"{bestseller,historical,adapted-to-film}",26.webp,NULL,NULL,NULL,2025-04-06 07:49:30.403+00,2025-04-26 14:46:13.154+00,true
27,Mere Christianity,C.S. Lewis,False,89,9780060652920,227,"{classic,influential}",27.webp,NULL,NULL,NULL,2025-04-06 07:49:30.405+00,2025-04-26 14:46:13.158+00,true
28,U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,False,95,9781557091055,32,"{foundational,historical}",28.webp,NULL,NULL,NULL,2025-04-06 07:49:30.406+00,2025-04-26 14:46:13.161+00,true
12,Tuesdays with Morrie,Mitch Albom,False,85,978-0767905923,192,"{bestseller,motivational}",12.webp,#f17128,#fbd7c3,True,2025-04-06 07:49:30.378+00,2025-05-01 13:46:59.276+00,true
31,The Autobiography of Malcolm X,Malcolm X,False,92,9780345350688,466,"{bestseller,influential,historical}",31.webp,NULL,NULL,NULL,2025-04-06 07:49:30.411+00,2025-04-26 14:46:13.167+00,true
34,Into the Wild,Jon Krakauer,False,88,9780385486804,207,"{bestseller,adapted-to-film}",34.webp,#4f9189,#cee0de,True,2025-04-06 07:49:30.417+00,2025-05-01 14:15:27.983+00,true
36,The Addiction Manifesto,Jerry Weaver,False,60,NULL,NULL,{educational},36.webp,NULL,NULL,NULL,2025-04-06 07:49:30.421+00,2025-04-26 14:46:13.182+00,true
42,The Tao of Pooh,Benjamin Hoff,False,75,9780140067477,176,"{influential,philosophy}",42.webp,NULL,NULL,NULL,2025-04-06 07:49:30.431+00,2025-04-26 14:46:13.201+00,true
30,Schindler’s List,Thomas Keneally,False,90,9780671880316,429,"{bestseller,historical,adapted-to-film}",30.webp,#3e3f36,#c9c9c7,True,2025-04-06 07:49:30.41+00,2025-04-27 08:27:24.268+00,true
